,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure
0,117848,42140,38300,24676,16806,3325,13460,3000,0,0,4607,63636,3457,4776,2880,36200,34056,7200
1,67766,17329,13008,17434,11073,2035,7833,2360,960,2132,8230,41370,3520,12900,5700,29300,9150,1500
2,61609,34182,32001,7783,2590,1730,3795,4545,270,4525,2735,14340,70,324,420,425,6450,500
3,78189,34030,28659,10914,10812,690,7887,6280,480,0,1390,16638,60,6840,660,300,3762,500
4,94625,34820,30167,18391,11309,1395,11260,6400,1040,0,4620,31122,140,6996,2100,0,8472,1000
5,73326,29065,25190,15336,8572,2614,9035,0,180,240,1930,22782,95,4044,1500,0,5394,600
6,104644,40992,36312,12968,12310,2565,15620,6200,1920,0,7930,24126,340,12696,1848,0,6126,6400
7,95644,37168,28156,14640,15896,3365,10520,1130,480,0,4085,40776,75,4140,3000,50,5562,1500
8,67348,23117,15845,11464,6685,1370,5235,10550,0,0,2780,8370,200,7200,1800,8000,6510,500
9,158721,56003,43239,26488,25678,3880,11360,15620,0,0,7740,65730,1786,5160,7200,13180,15210,4000
10,79530,36588,30167,11174,7674,1709,7920,2590,1268,910,5610,25668,49,3678,1080,750,7134,1500
11,111250,46521,39217,20548,15841,1475,7565,3320,2080,1820,8230,16398,123,2940,5520,250,9858,5500
12,88523,40531,36200,14322,8344,2200,6790,3850,1040,0,6140,11130,89,480,1500,960,5148,0
13,62262,26874,23130,10034,6971,2350,7770,300,0,0,2149,35154,78,14628,1200,0,5130,2000
14,45487,19668,16142,5430,6670,1860,6410,0,0,0,395,24180,77,960,0,0,2202,0
15,70892,30594,26788,10336,7900,1503,6819,3320,0,0,5045,22920,121,1980,264,375,5310,1000
16,83790,41701,36200,11226,8806,1434,6408,1751,1208,910,1105,18552,80,1440,420,470,6834,1000
17,85370,44006,38213,9840,9317,1231,7265,2755,0,780,1640,16698,61,1680,1080,350,11364,2000
18,64705,31984,28659,8048,7625,1625,6085,0,520,0,3610,20100,147,1500,660,0,4674,1000
19,82534,27283,22503,10162,12370,2380,8190,4520,1820,0,2060,11550,1445,7440,840,215,3768,1500
20,73459,32692,28520,6638,11734,2120,6100,5750,1280,2715,6390,19410,610,8010,1320,8060,4428,1500
21,67830,32678,28964,7510,7746,1410,4730,4520,960,780,2030,14556,50,7200,1200,800,3924,1000
22,164860,43076,38372,11884,15699,4510,5015,11740,570,0,7540,15222,102,9000,1080,5960,5826,2000
23,64696,30820,27150,8276,9565,1490,4535,2310,390,0,4905,12990,570,1560,660,200,3492,3000
24,57112,18215,16078,9562,7555,1550,4988,5820,820,1606,3610,22350,160,9480,840,225,3468,2000
25,59819,19491,15928,12557,9245,1710,4495,3645,1440,0,3380,15858,140,4380,1260,150,3930,2000
26,45509,15843,14118,7937,9160,1470,5330,0,0,0,2560,16368,85,960,0,0,3384,0
27,76151,29144,22565,15591,12229,2120,3990,0,390,0,3920,38100,420,9000,1080,0,4506,2000
28,88484,41313,36563,15018,11071,2210,5190,4285,1092,1280,2860,10638,266,7020,420,200,4518,1700
29,82647,34152,28252,12006,9480,1785,5830,7120,1170,0,7920,12300,180,13920,1320,3000,5304,2000
30,59898,16761,13876,14040,14379,2140,6935,0,0,0,2460,10110,267,960,0,0,2490,0
31,89896,29819,21515,19552,18234,1675,7112,3390,1638,780,4625,13110,250,2460,540,760,5748,2500
32,84335,24996,19266,16800,18452,1790,11700,0,910,0,3370,12420,215,3300,480,0,4572,2500
33,90927,34648,17984,18876,14960,2140,11420,0,1040,0,3835,12852,2600,2160,900,0,4212,1500
34,110405,42271,36470,12476,17220,2295,9625,13500,1170,0,5990,15030,150,14280,1080,14800,6336,2500
35,63907,19270,13870,11908,14126,2100,8295,200,1390,0,4640,11832,160,13920,1320,0,6864,10000
36,50424,17486,13290,5796,9579,1600,4735,3410,0,0,1730,17910,4229,4230,420,0,5982,0
37,112070,58254,46517,11810,8847,2045,6350,8360,456,0,5790,14700,3700,10620,1560,11900,6132,2000
38,91008,37629,31191,12088,12811,1265,7625,7450,2928,1629,2930,13026,120,13860,1320,380,7182,1644
39,108043,41137,32816,14958,11856,1240,7015,17800,252,0,6800,15420,2250,16200,1560,5100,6882,1500
40,96915,36695,30316,15101,6736,2110,7140,18330,0,0,3650,15960,200,11700,3300,7000,5892,2500
41,73997,26868,19651,9937,8706,1880,4065,10930,486,520,5920,16476,140,12240,1740,9600,7152,2105
42,78073,38561,31772,8324,5210,2190,12510,1695,492,2715,4900,12036,1000,2400,840,100,7908,1500
43,98445,29979,25713,23704,8417,1775,6350,15800,416,0,2240,57600,170,9120,2280,0,35406,7500
44,99064,20355,16226,29084,15827,2200,5930,15200,0,3620,13420,50550,2590,27660,13494,82000,70746,5000
45,85448,35920,29684,8002,7907,1300,5270,13990,2920,2715,4580,38904,144,10812,1620,5500,10968,0
46,83528,32136,27872,12686,7479,1775,6090,9700,210,5430,7083,34596,205,14712,3864,8600,15732,2000
47,98107,36213,30861,16505,8884,1930,7710,11800,0,0,22830,47580,508,4560,1620,6000,4686,2500
48,59255,19431,16060,18464,9509,1940,4330,0,0,2715,2480,20340,440,8310,1020,0,3132,1000
49,131485,46235,36272,30450,14452,2360,8720,16620,2600,0,19520,94272,1315,87120,3900,17000,43458,9000
50,95406,25378,19254,14050,10974,1195,5850,24150,1458,390,5410,42942,6828,7440,4332,6000,20826,4500
51,229370,98241,82536,46818,19718,3180,9555,35850,3210,0,18235,71280,4500,5058,3480,22500,33114,2000
52,64202,20938,15928,15204,12031,1810,7027,0,3214,0,4145,86718,960,57030,2760,0,2478,0
53,96601,27303,19910,25452,16129,1865,7125,8310,0,0,8760,47136,150,10398,2280,5500,4686,8000
54,75031,21286,18100,25542,11433,1760,5890,2190,0,7814,10800,53112,6120,5520,1920,5150,8778,8000
55,67121,24404,20091,12474,9405,1445,6350,2990,1170,5430,4180,21804,160,4824,1440,200,4116,2000
56,181926,47508,41268,36464,24387,2710,9885,38560,2720,0,19775,84000,1060,6720,8640,34900,60954,2300
57,56971,20468,16036,11174,7412,1500,3900,375,0,0,1200,27720,1800,2202,2004,0,3900,1000
58,60160,23470,15984,8195,7778,1170,6060,5980,0,0,1010,19338,50,1980,564,280,3690,1000
59,88966,41950,38010,12101,9600,1460,5130,1150,4374,832,2530,38490,6050,4680,2400,300,17640,2000
60,172404,36637,30060,61482,25812,3430,8660,22050,0,7240,11150,89982,4100,22140,12000,0,48186,5000
61,88017,43094,38102,7039,7233,1710,5690,14220,756,0,2760,15648,120,12120,672,400,5394,1500
62,51139,19999,17076,6530,6896,1480,4510,4120,0,0,1830,29310,100,3576,1680,100,8028,1000
63,127743,49902,44117,18616,9390,2460,9980,17060,504,0,3933,33804,1150,19920,4608,11957,15066,2000
64,65989,31888,27706,8885,7719,2300,7095,0,648,520,4280,40074,360,4800,1380,0,5586,1500
65,102906,44135,38734,15810,7427,2040,5665,16040,1534,0,3430,47028,0,12120,2700,600,27966,1500
66,87743,41207,35999,11649,11688,2530,6539,4450,160,9412,3110,9816,0,8700,2460,1650,7008,1500
67,59310,25390,21694,8073,7887,1820,7732,0,1645,3620,2830,16500,100,3600,540,0,4206,1200
68,62023,26806,21468,9174,7091,1410,6635,0,1080,0,1570,15000,128,960,420,0,3018,0
69,104427,33631,25356,9303,14685,2323,7862,9267,0,0,3125,24060,1470,15600,1800,0,13470,3500
70,110631,40476,31977,8840,9878,1550,7251,20845,2925,6335,8740,16200,220,8784,2760,2350,10770,4200
71,81985,31837,27567,10385,9131,2130,6015,4285,1680,4540,4860,16500,120,4800,270,100,5304,1500
72,108109,50073,36779,14649,15119,2815,7641,700,4615,5792,3380,22674,120,5598,1680,0,18702,2700
73,96505,40091,26531,10822,12136,2340,9261,6285,1105,2534,1750,31794,150,9660,3060,550,23454,2000
74,91575,38181,30368,9279,10968,1440,7387,9888,510,7375,2860,14700,120,7200,960,700,9306,2300
75,90942,42158,34222,12892,8595,2540,7161,4285,1105,6832,2320,23040,194,5160,900,600,8988,2300
76,90669,42961,36501,13902,7955,2770,5520,5980,2145,2265,3170,29148,0,4320,3240,300,8856,2900
77,29066,13956,12168,3621,3878,1005,3208,0,1690,9955,600,14622,60,240,0,0,2148,500
78,78662,36893,25557,10224,10718,1870,6878,4120,2350,416,2970,14832,50,3720,1320,500,4440,1000
79,155045,68989,43365,21917,14842,2785,7134,20325,1105,16290,6330,40740,120,17520,2640,12300,13056,1300
80,84355,40301,34457,12906,7832,1210,6743,900,1170,4706,3150,27552,0,5340,1980,0,10140,1500
81,69946,31880,26817,10713,8864,1660,5846,0,1170,7375,1870,22074,120,780,720,0,6846,1800
82,72478,35810,28156,10489,7593,1355,5958,900,1105,6335,1650,27798,0,3540,1680,0,5310,1800
83,100518,44554,30167,15818,6717,1895,5128,14220,1560,9050,4870,26256,100,6720,2160,600,9006,1100
84,60543,27886,24198,8762,7836,1715,3717,450,1170,3620,1435,13152,120,1380,480,50,5874,1000
85,49085,21285,15957,7087,6419,1150,4671,0,510,2730,1570,17352,145,1380,1080,0,4788,1700
86,72244,32849,29262,9961,9404,1810,6392,2825,585,5544,2895,16860,198,4200,600,150,7080,1000
87,110462,42990,36500,23506,14452,1370,11205,2895,3564,5972,11430,22680,401,2880,1260,600,5226,2000
88,164802,48480,35476,54002,19782,3025,17513,4230,4082,728,23220,40614,4090,12690,6000,3850,23100,10000
89,79540,22972,17267,10892,23187,2270,10184,0,0,0,1450,20766,380,480,0,0,14124,2000
90,77667,30999,25481,10508,7648,1480,12896,4066,1440,0,3265,20412,430,3210,1428,280,21126,10500
91,53517,20179,14618,7923,7620,1220,9688,0,0,0,3350,11844,0,960,1476,0,2334,0
92,86841,31910,24149,15165,11335,1135,8195,8000,1580,0,3780,29850,50,3600,1620,10100,5604,1500
93,62562,30508,28402,8590,9643,1170,6240,0,0,0,1750,20700,10583,1680,0,0,16326,5000
94,77461,34955,27353,11550,10299,2370,6563,3165,360,1924,7295,15600,1000,2700,492,5870,5886,0
95,89011,25419,19882,15472,17070,2130,12933,3500,0,1685,3770,36948,950,3060,1800,18000,29328,1000
96,83950,40737,36200,11211,15089,1485,5809,1300,1014,390,21150,17220,150,1080,1020,200,3846,2370
97,92792,56998,52282,8031,10475,1290,5040,0,1410,1040,2290,9918,204,1500,1380,0,5370,0
98,92989,25888,16321,21160,8612,2510,7289,6090,0,0,3690,27660,14900,3600,1500,6900,3432,3000
99,74452,29989,25461,8290,7747,1165,4770,8250,1080,0,660,17700,175,5700,660,6000,4206,0
100,97535,53284,47136,12395,9598,980,5710,5395,1310,724,1410,9270,2970,2100,360,150,3726,0
101,81093,33785,25389,15171,5844,980,8130,7025,750,0,6250,14400,1036,2280,720,150,2442,0
102,64116,29674,26865,7417,6404,1210,3430,2590,855,0,3430,13350,2298,1500,540,1080,2838,1000
103,115092,34277,25702,28128,19862,2325,8310,3600,0,1810,1980,30300,3600,5400,2520,0,5094,0
104,84215,52290,38379,7893,7299,1310,5665,930,1020,0,1055,13632,0,2400,480,230,4908,800
105,81805,42657,36063,6574,10576,1402,5830,3420,546,0,2655,11700,1100,3660,870,1500,9078,1500
106,80552,38602,30467,14122,7027,1582,4240,3355,468,0,4025,14322,257,3594,1800,300,7056,1000
107,134812,78686,65765,8812,8780,3190,8082,4325,1580,480,2260,11730,1060,2100,660,200,4854,0
108,108269,56536,45612,8650,9564,1510,9560,11495,0,0,1450,10410,4110,4500,300,0,3294,0
109,93550,51874,43078,12122,9033,1619,5780,2425,510,260,3330,13008,260,1800,840,0,4548,0
110,125385,48698,44484,16855,12689,1655,9095,23725,0,0,1660,21900,1729,3000,480,10000,4062,0
111,89572,47488,42732,7094,6356,1650,8215,2590,240,0,2605,12366,430,1200,660,0,4596,0
112,81598,43457,38010,10360,6487,2220,8340,3885,240,2263,2265,13512,240,1620,390,220,6750,0
113,60346,27680,23081,6751,6977,2905,7075,0,0,0,3775,23100,4000,3300,900,0,4482,0
114,138744,46182,38010,28812,11252,4567,10925,14130,60,0,14972,31242,496,16308,5400,22050,38436,3000
115,84402,33901,30965,12844,10385,2700,6415,8605,252,0,2025,13500,1400,240,432,630,4548,1500
116,86715,37739,34370,10316,14181,2275,4505,8605,0,160,1430,10620,150,1440,510,300,5232,1500
117,21156,9651,8999,1135,4025,560,2785,0,0,0,400,7200,50,300,0,0,1032,0
118,54897,22346,19146,10386,7363,2480,5870,0,0,780,1280,8400,100,1140,582,0,3240,1000
119,91565,45820,41008,7588,10203,1505,7200,8425,0,1560,4015,12924,685,2700,1182,300,4722,1500
120,66834,23324,18728,14388,10365,2960,5145,1865,1820,780,3770,12990,470,2028,744,300,4008,1500
121,83929,28491,22467,15294,10315,2510,9655,4120,1586,390,1930,15012,120,420,432,300,5322,1000
122,61157,19355,14107,15714,7631,3380,6000,1865,0,0,3035,16320,100,3480,936,290,4230,1000
123,77453,35859,27763,5696,7070,1940,4490,3245,4222,1170,5559,19260,245,6150,1608,260,6870,1200
124,116176,32251,25389,24144,11471,5200,9435,11890,1140,390,13605,46020,725,55008,3972,4500,5076,2500
125,78527,25177,18929,22484,9272,2200,6135,1695,4264,780,3706,17034,120,1920,1080,150,3588,1000
126,67808,21598,16016,10594,8236,1995,6500,5250,1040,5950,1200,13794,100,1320,1080,150,3900,1000
127,75561,36720,32250,10426,8823,2170,6741,0,504,390,1890,10680,1000,1140,840,0,4416,1000
128,51361,21152,16626,9504,4984,1520,4991,1695,0,0,2120,9282,0,720,0,360,3030,1500
129,71274,34245,31183,11734,10705,1090,5777,0,239,0,2920,18126,120,2340,1500,0,4080,1500
130,105283,34687,29821,12422,14430,2650,7257,12740,0,195,6130,18750,164,7074,2160,9000,6924,2000
131,39704,15655,12985,5478,5977,1625,5445,0,0,0,560,11250,680,1440,0,0,2220,1000
132,58107,26642,23072,8716,7189,1825,5615,0,480,0,2350,13194,730,1080,582,0,3690,1000
133,78639,31342,20500,16974,7917,1370,6400,1130,0,0,2120,25518,776,3660,660,50,4746,1500
134,77282,28001,22633,11414,9370,1530,7523,9100,240,0,2885,9882,120,4140,312,1410,5304,1000
135,92768,34160,27668,15146,10507,2500,6790,7380,1500,910,5049,16950,1025,6480,2100,500,31482,0
136,71753,44198,40606,5400,5241,1525,5090,4450,1920,0,1770,13074,0,1560,600,0,3378,0
137,69690,27939,20994,7878,5856,2980,5040,10380,720,420,2660,27654,50,4992,1500,7900,7896,0
138,75131,33538,31977,7428,7222,1620,4805,12900,126,0,1590,31536,1224,5370,1080,9000,7938,0
139,17781,7807,6067,1510,2483,720,2785,0,0,0,180,9300,300,360,0,0,672,0
140,31647,13083,10707,4351,5383,730,3845,0,0,0,280,13260,150,720,60,0,1512,25000
141,61150,23817,19850,8814,8072,1525,6000,4120,480,0,2600,12672,60,2880,660,750,4374,1000
142,76530,33960,28775,13842,6829,2230,5860,4120,216,0,2670,18144,50,6000,1560,600,4476,1000
143,51564,24175,22243,5668,5477,1420,4545,2260,240,0,1350,12738,0,1800,0,150,3096,1000
144,88741,46620,43869,7370,10695,1750,6060,8970,1040,0,3460,19008,150,1200,840,950,5772,1000
145,67218,33161,30551,10194,5153,1525,6335,4120,252,0,2420,14046,220,3780,1380,600,4086,1000
146,115255,52164,47605,10656,12213,1795,6275,21000,1040,0,4540,27672,380,7920,1560,830,9300,1500
147,47168,11043,6402,6155,6612,1920,7000,4780,0,0,2525,17862,1568,5520,1020,2100,2934,2500
148,34183,13265,12370,4165,3789,1550,7190,0,300,0,730,12258,160,1476,540,0,1680,0
149,84796,41328,37265,5880,14401,1850,5250,4295,1220,0,4330,18480,2500,3900,1758,650,4356,0
150,48761,23706,21720,5372,4470,2045,5605,1330,1584,760,6255,39198,6075,3900,840,150,4014,6000
151,60154,28986,24737,5745,6042,2270,6640,2600,881,910,4440,12600,480,4920,1050,0,3810,0
152,77020,37953,31072,9610,7850,2107,8875,0,1900,910,2045,24264,3600,2700,1380,350,6234,0
153,65344,33839,30770,5570,6510,2585,7085,0,1505,780,2070,17454,1269,4920,540,100,7674,0
154,75244,38031,30770,4915,6205,2545,11260,1530,1211,0,1915,22140,11730,2976,360,1650,4554,0
155,92403,53707,43140,5100,8690,1600,8900,2260,611,780,6205,16890,430,4170,480,150,4872,0
156,24028,6685,5330,3845,3782,1470,4158,0,0,0,260,9120,900,2760,600,0,2388,0
157,87336,54739,51437,5200,6131,1965,6145,3390,840,210,2060,16806,344,4152,480,2200,7974,0
158,56417,28589,24737,5045,5040,3035,5990,0,611,910,1270,14562,9150,4020,780,0,6996,35000
159,96122,48305,43460,17440,6295,3310,8220,656,0,260,2390,23886,10970,6930,2400,150,5928,0
160,78178,43792,40273,5620,11264,2390,7735,450,285,345,2195,12000,80,4920,540,150,9522,0
161,59311,31461,28810,7748,4020,1880,7369,0,135,1046,2570,15900,2254,5268,960,35,4356,0
162,63163,34858,33148,5201,6722,2315,5760,0,2080,760,2090,16284,50,2760,660,3991,4158,2700
163,87892,39221,33069,17979,8024,3000,5320,1000,2650,4790,16143,15780,5500,22494,1140,2360,14574,113000
164,61535,36632,32978,4625,6266,1810,4450,0,1920,240,6970,11376,0,0,390,0,1854,1000
165,54527,34989,33191,2355,5659,1610,3275,0,0,0,1045,10800,0,1920,0,0,1854,0
166,37688,15836,11907,3290,4994,1670,4567,0,0,0,2375,12120,50,2280,720,250,3000,0
167,46384,21483,18068,4121,5696,1600,4325,0,2960,240,2015,12090,0,0,0,300,2100,0
168,71267,34728,30354,11750,6885,2460,4630,0,1820,0,4560,16050,1930,12540,900,4800,5706,6000
169,40210,13403,11513,4692,7159,1805,5950,0,650,1040,2115,10746,0,6840,1140,0,2286,0
170,41911,21278,19551,2550,4998,1335,4250,0,0,0,2590,10086,5244,9540,1170,0,3990,0
171,61587,36026,33070,5393,5222,1625,4745,0,1980,7298,5375,16668,100,6600,840,0,15480,1500
172,96729,20545,16495,59736,4680,1215,3285,0,360,0,500,14052,1050,3660,840,150,3888,2000
173,72496,32508,27639,10510,8454,3180,4080,1000,1300,0,7660,19578,4850,8616,2400,0,47034,2000
174,88944,56838,53378,8648,6986,1850,6060,0,900,790,5020,12246,450,3360,720,2600,4638,0
175,29889,13778,12470,2270,3879,1505,3905,0,0,240,600,9240,50,0,0,0,2160,0
176,66330,34399,29507,6094,8433,1780,3075,0,720,2395,5925,11610,50,5892,840,300,3786,0
177,50381,25623,22098,6514,4395,1250,4075,2200,1660,0,4635,15492,4168,7098,3240,150,3216,0
178,59989,36646,33057,5436,5085,1405,3300,0,1660,370,3595,14988,850,6738,540,4000,9300,4000
179,45212,22013,18775,5485,5936,1700,3645,0,770,240,1410,12186,0,1350,540,5600,2802,1000
180,34475,15428,13187,2570,4318,1475,4470,0,650,0,1820,9594,0,0,180,0,2352,2000
181,54271,32675,30354,4924,5571,1225,2775,0,1690,0,1735,12150,1550,2160,840,150,2940,0
182,238375,54552,43034,37468,26288,5235,14180,33090,540,3982,19720,67740,28910,36960,10920,1400,66348,9000
183,102403,50783,45505,8572,9966,1930,6345,14515,1478,905,4890,10512,215,10800,1260,1270,8070,1000
184,124068,45179,36200,31429,11648,2035,6075,11780,1080,7964,7474,30132,175,14994,3840,3650,15822,4300
185,77440,31109,24737,7981,11928,1710,10420,7200,1606,104,2740,14172,120,8460,1296,15500,5946,1200
186,124651,39455,36428,15230,10672,2810,6825,36890,1650,0,12901,32508,2800,21420,3360,32350,36408,6500
187,93994,53586,48570,12498,10314,2430,5060,0,135,5992,7080,10068,360,1680,1008,0,5976,2000
188,84962,37950,33100,10920,6972,1860,4300,17140,381,192,2445,11040,148,11040,540,700,7572,2000
189,88115,42705,38436,10495,9939,2180,4900,9700,258,60,4360,12576,460,8640,1380,1800,5394,3700
190,67950,30654,26648,9762,7872,2000,6185,1600,0,0,4079,33630,21720,3840,780,0,10758,2300
191,85771,40503,37294,10518,9300,1735,7150,9665,533,3620,4010,11436,470,8880,540,6830,8076,1000
192,102806,40014,36100,12320,13399,1725,7140,18840,528,7240,7370,9048,120,12540,0,8160,5904,1500
193,63149,20297,18012,11514,8922,2470,6610,3920,3172,5792,2950,9072,150,2940,750,1450,6354,1500
194,76516,33706,28676,11244,9712,1490,5706,6310,533,0,7070,9708,230,5460,1500,2500,9480,4500
195,76259,18411,12667,12556,12469,2100,6140,15460,11166,156,5515,25200,1545,9360,2880,3150,5832,1500
196,128061,44683,36200,13007,12554,2850,8080,33620,2170,0,8045,25638,2778,19860,3456,13400,9504,1500
197,22189,8458,7692,3244,3563,1570,3480,0,0,0,1220,7302,130,360,0,0,528,0
198,127832,41231,36821,22642,12484,2245,4979,13885,291,0,4385,12576,738,15180,1560,370,5838,2000
199,105256,56504,51287,9622,11936,1765,6465,5520,246,9050,8270,19188,240,17160,1620,410,7860,2500
200,62503,25313,21947,9438,9289,1950,5958,3355,1286,724,4390,10164,170,1200,450,0,3804,2000
201,91993,40709,37107,10487,13253,2080,9730,3720,1310,2964,4760,12552,510,1260,0,239,5736,2500
202,62989,22468,17876,10034,7310,2220,5180,0,240,1170,3310,32382,165,2820,3000,0,6006,800
203,104484,37031,28115,15218,15065,2950,7812,12690,3660,0,8970,63960,295,4176,3480,15185,5562,6500
204,85763,36525,25501,10420,14350,2630,8375,0,1170,0,3260,26466,84,1680,2160,0,7902,1000
205,104389,39550,29767,14965,11260,2335,9613,14515,0,0,3810,15240,163,1560,3240,1400,7722,1500
206,90846,44319,40611,11732,11846,2455,5803,6675,540,1040,2880,14322,229,780,1800,150,5766,1500
207,62063,29370,26257,7857,7588,2620,5740,1130,0,0,1480,12498,150,1200,960,100,8328,500
208,36052,12646,10794,7230,6467,1895,4820,0,270,0,510,8874,158,540,0,0,2982,0
209,71774,22772,19039,16734,10010,2230,7165,4850,3390,0,2630,21558,47,8436,3000,1300,3738,4000
210,98443,43119,38164,11357,12832,2810,9550,1800,3705,1690,4770,30078,240,2400,4500,0,15114,3000
211,93387,39760,32178,13703,14142,2075,8190,1800,2665,9455,3980,22200,110,2460,3060,0,6972,7800
212,27529,8125,6220,5643,3415,825,6335,0,0,0,280,26496,83,300,120,0,164574,0
213,103206,52135,43097,12468,9740,3280,7170,6640,270,0,2970,26448,120,1704,3600,600,9204,1500
214,47693,15080,10033,9920,4270,1741,8050,0,540,0,950,21480,220,1380,1440,0,3612,1000
215,112200,41162,36200,15569,12652,2910,9150,17520,1310,0,5755,38310,13712,6840,6120,2600,14688,5000
216,65512,24484,22172,13117,7384,1780,4730,6310,2080,0,2165,64680,1300,1200,1800,320,7512,3700
217,104620,32006,25352,25717,17494,3045,8455,1800,988,4400,5940,37836,222,4098,3600,0,8682,7500
218,111206,26806,22575,22053,13015,2425,10885,23400,0,0,7610,55440,7197,13560,4200,0,22374,10000
219,39359,22047,20032,5089,3904,1735,1740,0,1560,2340,2350,11532,15,0,0,0,2022,0
220,47992,23967,20695,5474,6724,2560,3790,600,474,0,1260,15024,12960,2280,300,0,12456,1000
221,60553,25625,24297,10280,10018,1750,7565,300,0,0,1490,25170,1300,9600,900,0,3336,1700
222,54761,21111,18668,6480,7933,1910,9090,600,870,0,2385,13200,520,1800,480,0,2970,0
223,83332,34441,29330,11940,7510,2300,10255,4380,720,1560,5380,13596,9310,8808,1380,1150,6642,5000
224,62245,23599,21147,5790,11866,1910,7930,1130,0,0,500,8760,900,2160,180,0,2532,2000
225,153540,16524,14051,3664,8033,1518,11710,102265,240,1560,1756,7620,366,2280,780,100,3768,0
226,67330,29030,25682,11174,11162,1850,6745,2025,0,1820,255,15678,715,1320,564,200,4020,1500
227,100370,29374,24261,15916,9453,3964,14486,12645,0,0,12740,29292,640,9942,8694,600,10494,5000
228,77175,19466,13582,15797,10093,2355,5431,10380,0,0,7995,34446,1494,7062,3600,575,30114,10500
229,126018,68227,59129,10168,12073,1605,7395,6180,2132,0,14925,13800,221,10080,1200,350,5874,4000
230,65370,26613,22764,8994,8617,1020,7045,2025,4420,0,4385,10722,0,2640,1080,690,2934,0
231,80490,44312,39372,7575,9506,980,6735,0,210,1872,4360,18228,470,2040,1110,0,4614,5000
232,47437,21345,18216,6877,7448,1070,5945,600,0,0,1430,16002,0,540,840,0,3750,0
233,66602,32743,28925,5700,7065,1805,9070,1825,1430,520,5935,18756,60,3600,540,0,3054,0
234,55993,24173,20352,6405,5910,2780,8930,1295,910,1352,3400,9900,125,1440,330,60,3792,0
235,89906,49328,42830,5832,6648,2130,9860,6290,0,0,3610,14370,900,2520,480,1930,6606,0
236,50708,20684,18249,7550,6747,2030,4800,1950,222,0,160,13218,210,4950,780,0,4050,0
237,55192,22940,19058,8042,7198,1615,7045,1200,1000,0,3920,21894,215,4560,858,0,7932,2000
238,48660,18832,15244,6814,5500,1895,6445,565,870,1326,4410,18366,325,2520,300,229,4260,1000
239,47654,18936,15256,9220,6784,1125,5755,0,0,0,700,12210,60,1320,210,0,3042,0
240,32746,14695,12701,4048,4137,1380,5390,0,0,0,400,14100,1100,1200,90,0,1782,0
241,58522,28241,24134,10014,7392,1140,5565,1660,715,0,1800,24810,290,3840,570,375,4434,0
242,108722,57518,48369,12371,10684,1195,5575,10420,1388,620,1370,31140,0,2400,720,2700,6966,2000
243,102594,55874,52047,16728,10824,1625,5035,2225,1755,910,1335,29220,50,3120,900,520,5952,0
244,59271,30856,27200,8070,6123,1385,5865,2590,270,6730,1330,14040,0,1140,690,600,3018,0
245,58349,28368,25461,5104,6990,1325,7735,0,276,0,570,10320,130,480,360,0,2262,0
246,76109,45760,42235,6122,4824,1600,6135,4050,90,210,1710,32622,70,1680,900,0,3198,0
247,69480,36068,31494,7430,7078,1460,4692,565,315,880,810,12708,210,1080,660,0,3336,0
248,55424,30930,28659,5800,6597,1280,5565,730,0,785,1730,15420,50,3480,450,0,3180,0
249,79480,47435,44045,7748,4584,1395,6225,4450,270,0,1240,18300,160,1560,300,530,2730,0
250,78588,49802,43078,4960,6869,1605,4525,5580,270,0,1360,14220,24,840,360,500,1830,0
251,24004,10374,8788,2792,4107,1170,2985,0,546,0,450,9360,35,900,300,0,1638,0
252,86244,47344,43078,8683,10595,1430,5274,5580,655,0,1770,12600,109,1920,1440,300,2136,0
253,39588,19479,18047,5394,5121,1305,5100,0,0,260,880,9576,330,2280,0,0,1872,0
254,67890,41876,38010,4909,6931,1020,4650,1860,1320,0,1410,12360,1088,2400,510,870,3816,0
255,34311,10611,8788,4448,3046,1630,3930,0,0,0,260,12060,1680,1440,1050,0,1338,0
256,99592,40556,34752,7888,17947,1994,5690,2660,0,520,2435,42120,900,5136,900,2750,10698,0
257,27599,12258,9623,4367,2940,1025,4755,0,270,0,200,9300,50,600,60,0,1158,0
258,30457,14022,9899,3223,3220,830,3370,730,520,3750,1110,11490,332,1350,420,0,2352,0
259,54801,34236,31132,4963,5667,1105,4210,0,270,0,960,9648,55,1680,300,0,2832,0
260,53155,25991,23380,6574,6864,1295,5225,2025,420,0,770,21420,0,1140,252,370,2718,0
261,63465,29427,25461,11998,6531,1600,5485,1130,2535,234,2850,25782,0,3528,870,200,28320,0
262,46226,19038,15760,5760,6416,1720,5340,2225,0,0,1250,18000,35,5040,660,600,4050,0
263,76577,31006,28654,12887,8277,1615,5840,7940,750,0,610,19158,150,3420,960,15026,5718,1000
264,51053,22777,20397,5067,9464,1580,6510,0,0,0,3370,21492,1200,1440,0,0,4938,0
265,89924,38395,33185,15459,9609,2104,6630,6640,0,0,1000,23640,920,9960,1140,1800,11418,3100
